,0
0,luizcebol
1,cartão
2,nubank
3,está
4,meio
5,esfolado
6,quero
7,us
8,virt
9,appl
10,está
11,ipad
12,seguranç
13,jathleticano
14,thiagoast
15,bancoint
16,nubank
17,par
18,bacon
19,el
20,patrocinam
21,bale
22,pelo
23,am
24,deu
25,nubank
26,aument
27,limit
28,wanderley
29,nubank
30,wanderley
31,aconteceu
32,filho
33,ontem
34,compraram
35,loja
36,ren
37,depo
38,tentaram
39,compr
40,nik
41,cara
42,eram
43,fortalez
44,rogersilvasouz
45,nubank
46,caralho
47,bicho
48,quas
49,ufood
50,fod
51,cozinh
52,uma
53,marmit
54,ness
55,porr
56,mano
57,nubank
58,saiu
59,quer
60,faz
61,nova
62,eit
63,inferno
64,mercadolivr
65,arthursilv
66,nubank
67,hoj
68,nad
69,mercadolivr
70,eurodrigo
71,nubank
72,amigo
73,passe
74,ano
75,cont
76,liberarem
77,crédito
78,ódio
79,dess
80,banco
81,abandonando
82,nubank
83,fas
84,maravilhos
85,banco
86,digit
87,passou
88,voltando
89,físico
90,mesmo
91,comece
92,us
93,control
94,gasto
95,nubank
96,agor
97,mai
98,olív
99,vendo
100,ess
101,enfie
102,jac
103,ifood
104,foram
105,pedido
106,muito
107,ess
108,feat
109,https
110,uppvmw
111,thiagoast
112,infel
113,fechando
114,minh
115,cont
116,bancoint
117,motivo
118,sere
119,con
120,patrocínio
121,obrigado
122,tudo
123,thiagoast
124,bancoint
125,nubank
126,agor
127,abrindo
128,cont
129,int
130,valeu
131,int
132,receitagovbr
133,como
134,faço
135,par
136,sab
137,situação
138,estou
139,conseguindo
140,faz
141,cont
142,digit
143,nubank
144,cartão
145,nubank
146,clonado
147,el
148,simples
149,querem
150,faz
151,estorno
152,devido
153,nubank
154,quero
155,estorno
156,direito
157,nubank
158,parabenizando
159,cont
160,quer
161,cartão
162,crédito
163,santander_br
164,banco
165,consegu
166,fic
167,sequ
168,sistem
169,cair
170,dev
171,pedir
172,ajud
173,pesso
174,bradesco
175,nubank
176,nubank
177,felipeslorenzo
178,amamo
179,sab
180,ess
181,novidad
182,está
183,disponível
184,par
185,opinião
186,import
187,par
188,assim
189,cartão
190,nubank
191,está
192,meio
193,esfolado
194,quero
195,us
196,virt
197,appl
198,está
199,ipad
200,seguranç
201,consigo
202,adicion
203,wallet
204,iphon
205,impress
206,contrast
207,ent
208,facilidad
209,ladrõ
210,dificuldad
211,cli
212,seguranç
213,quando
214,vejo
215,fatur
216,cartão
217,nubank
218,vejo
219,aumentaram
220,limit
221,pod
222,rockinrio
223,mariacarolin
224,queroir
225,rockinrio
226,https
227,owel
228,nubank
229,av
230,av
231,hoj
232,gat
233,cant
234,anitt
235,nubank
236,liber
237,aquel
238,empréstimo
239,tav
240,disponível
241,sumiu
242,nubank
243,pegando
244,meu
245,dado
246,pelo
247,cadastro
248,minh
249,irmã
250,isso
251,fer
252,lgpd
253,nubank
254,tent
255,nubank
256,lançou
257,caixinha
258,maravilh
259,drog
260,acho
261,pedir
262,novo
263,roxinho
264,nubank
265,chip
266,cartão
267,acho
268,problem
269,bradesco
270,brazil
271,largest
272,bank
273,institut
274,annount
275,acquir
276,mex
277,digit
278,lend
279,ictineo
280,acquisit
281,brazil
282,lend
283,subtl
284,mast
285,plan
286,fight
287,nubank
288,klar_mx
289,fondeador
290,biggest
291,digit
292,bank
293,mexico
294,https
295,nubank
296,reserv
297,emergênc
298,tir
299,carteir
300,motorist
301,compr
302,sofá
303,obrigado
